id,name,hand,weapon,head,eyes,body,hair
1,Cervius - The Centurion,Dragon Claws,Dragon Lance,Galea,Fear Sensors,Lorica Lamminata,Cotton White
2,Dwayne - The Mechanic,Protective Gloves,Fighting Wrench,Soft Hat,Night Vision,Protective Uniform,Sapphire
3,Fjord - The Barbarian,Hunter Gloves,Jarnbjorn,Demon Skull,Bloodshot,Hunter Armor,Seafoam
4,Giovani - The Priest,Holy Hands,Peacemaker,Gas Mask,Holy Lenses,Vestment,Gold
5,Gokou - The Samurai,Yukake,Katana,Kabuto,Power Sensors,Karuta,Crimson
6,Jasper - The Cowboy,Ranger Gloves,Elemental Shotgun,Stetson,Sand Google,Ranger Gears,Metal
7,Nessie - The Musician,Rhythm Gloves,Piano Sword,Punk Helmet,DJ Smart Glass,Speakers Suit,Magenta
8,Nathan - The Cop,Tactical Gloves,Order Keeper,Tactical Helmet,Tatical Vision,Tactical Body Armor,Charcoal
9,Percy - The Iron Knight,Power Gloves,Elemental Saber,Heaume,Threat Sensor,Mini Reactor Armor,Blue
10,Sergei - The Astronaut,Space Gloves,Elemental Gun,Space Helmet,Ore Detector,Space Suit,Tangerine
11,Takejiro - The Yakuza,Quick Hand,Dao,Hair Clips,Eye Patch,Dragon Suit,Rainbow
12,Wuseng - The Mad Monk,Buddist Palm,Lotus Seed,Kasa,Karma Sensor,Vegeterian,Metal
13,Saru#13,Space Gloves,Jarnbjorn,Stetson,Invisible Shade,Karuta,Indigo
14,Saru#14,Tactical Gloves,Elemental Saber,Invisible Hat,Holy Lenses,Karuta,Metal
15,Saru#15,Rhythm Gloves,Elemental Saber,Invisible Hat,Sand Google,Lorica Lamminata,Blue
16,Saru#16,Tactical Gloves,Order Keeper,Kasa,Holy Lenses,Protective Uniform,Metal
17,Saru#17,Power Gloves,Jarnbjorn,Invisible Hat,Karma Sensor,Karuta,Metal
18,Saru#18,Tactical Gloves,Jarnbjorn,Invisible Hat,Fear Sensors,Mini Reactor Armor,Metal
19,Saru#19,Space Gloves,Jarnbjorn,Kasa,Invisible Shade,Space Suit,Tangerine
20,Saru#20,Protective Gloves,Jarnbjorn,Invisible Hat,Ore Detector,Space Suit,Ocean
21,Saru#21,Tactical Gloves,Fighting Wrench,Invisible Hat,Power Sensors,Space Suit,Metal
22,Saru#22,Ranger Gloves,Elemental Shotgun,Stetson,DJ Smart Glass,Speakers Suit,Seafoam
23,Saru#23,Space Gloves,Elemental Shotgun,Space Helmet,Night Vision,Space Suit,Tangerine
24,Saru#24,Ranger Gloves,Order Keeper,Kasa,Invisible Shade,Hunter Armor,Metal
25,Saru#25,Hunter Gloves,Order Keeper,Invisible Hat,Tatical Vision,Space Suit,Ocean
26,Saru#26,Hunter Gloves,Elemental Saber,Space Helmet,Fear Sensors,Hunter Armor,Metal
